tensione,tempo,intersezione2,intersezione3
1805,60,173,130
1771,60,183,138
1750,60,166,133
1720,60,193,153
1700,60,189,147
1671,60,197,145
1627,60,173,128
1601,60,199,157
1568,60,162,120
1543,60,153,114
1516,60,155,112
1481,60,171,127
1442,60,152,106
1414,60,200,148
1380,60,171,111
1346,60,175,86
1329,60,168,46
1310,60,196,35
1285,60,177,18
1264,60,177,9
1256,60,170,6
1228,60,173,6
1204,60,175,0
1151,60,177,0
1051,60,176,0
1001,60,156,0
